Dish,CorrectCategory
Nonfat Plain Greek Yogurt,side
Nonfat Vanilla Greek Yogurt,side
Nonfat Strawberry Greek Yogurt,side
Romaine Lettuce,side
Baby Spinach,side
Chilled Quinoa,side
Grape Tomatoes,side
Sliced Cucumber,side
Shredded Carrots,side
Sliced Red Onions,side
Sliced Bell Peppers,side
Sliced Black Olives,side
Roasted Edamame,side
Pickled Beets,side
Fresh Broccoli Florets,side
Roasted Brussels Sprouts,side
Crispy Chickpeas,side
Diced Chicken,main
Roasted Tofu,main
Hard-Boiled Eggs,side
Shredded Cheddar Cheese,side
House Made Honey Mustard,other
Herb Ranch Dressing,other
Raspberry Vinaigrette,other
Italian Dressing,other
Citrus Balsamic Vinaigrette,other
Cottage Cheese,side
Cinnamon Brown Sugar Granola,other
Pumpkin Seeds,other
Chia Seeds,other
Red & Green Grapes,side
Cantaloupe,side
Pineapple Chunks,side
Honeydew Melon,side
Papas Rancheras,side
Roasted Italian Vegetables,side
Roast Beef,main
Steamed Green Beans,side
Pepperoni Pizza,main
Cheese Pizza,main
Sausage Pizza,main
Cream of Tomato Soup,main
Sloppy Joe Filling,other
Potato Roll,side
Cheddar Cheese,side
American Cheese,side
Leaf Lettuce,side
Sliced Yellow Onion,side
Sliced Tomatoes,side
Dill Pickle Slices,side
Black Bean Burger,main
Pork Dumplings,other
Sweet Thai Chili Sauce,other
Albuquerque Roast Chicken,main
Scalloped Potatoes,side
Seasoned Steamed Carrots & Cauliflower,side
Assorted Breads,side
White Rice,side
Togarashi,other
Tuxedo Sesame Seeds,other
MTO Furikake Seasoning,other
Nori Sheets,other
Chow Mein Noodles,other
Fresh Scallions,other
Pickled Red Onion,other
Sambal Oelek Chili Sauce,other
Sweet Soy Marinade,other
Tamari Soy Sauce,other
Chili Oil,other
Rice Vinegar & Soy Sauce Oil,other
Craveworthy® Sugar Cookie,dessert
Black Forest Brownie,dessert
Red Velvet Swirl Brownie,dessert
Plain Bagel,side
Everything Bagel,side
Cinnamon Raisin Bagel,side
Whole Wheat Bread,side
White Bread,side
English Muffin,side
Made Without Gluten Bread,side
Made without Gluten Bagel,side
Cream Cheese,other
Sun Butter,other
Peanut Butter,other
Grape Jelly,other
Strawberry Jelly,other
Butter,other
Belgian Waffle,dessert
Maple Syrup,other
Chocolate Chips,other
Mini Marshmallow,other
Hershey's Chocolate Syrup,other
2% Milk,beverage
Chocolate Milk,beverage
Uproot Chocolate Peamilk,beverage
Uproot Oatmilk,beverage
Uproot Soymilk,beverage
Rice Chex Cereal,side
Fruit Loops Cereal,side
Raisin Bran Cereal,side
Apple Jacks Cereal,side
Rice Krispies,side
Cocoa Puffs,side
Cinnamon Toast Crunch Cereal,side
Frosted Flakes,side
Banana Cream Pie Ice Cream,dessert
Birthday Cake Ice Cream,dessert
Campfire S'mores Ice Cream,dessert
Chocolate Ice Cream,dessert
Coffee Ice Cream,dessert
Cookies & Cream Ice Cream,dessert
Cotton Candy Ice,dessert
Mint Chocolate Chip Ice Cream,dessert
Orange Pineapple Ice Cream,dessert
Pumpkin Pie Ice Cream,dessert
Rainbow Sherbet,dessert
Raspberry Fudge Cordial Ice Cream,dessert
Strawberry Ice Cream,dessert
Strawberry Cheesecake Ice Cream,dessert
